# scintLeft	anodeBack
4.790000000000000000e+02	9.540000000000000000e+02
4.810000000000000000e+02	9.980000000000000000e+02
-1.000000000000000000e+00	-1.000000000000000000e+00
5.360000000000000000e+02	1.000000000000000000e+03
5.750000000000000000e+02	1.166000000000000000e+03
4.980000000000000000e+02	1.136000000000000000e+03
-1.000000000000000000e+00	-1.000000000000000000e+00
6.270000000000000000e+02	9.740000000000000000e+02
1.520000000000000000e+02	1.422000000000000000e+03
5.360000000000000000e+02	9.140000000000000000e+02
1.760000000000000000e+02	1.328000000000000000e+03
5.440000000000000000e+02	1.134000000000000000e+03
8.200000000000000000e+01	7.610000000000000000e+02
1.880000000000000000e+02	1.415000000000000000e+03
-1.000000000000000000e+00	-1.000000000000000000e+00
-1.000000000000000000e+00	7.900000000000000000e+01
4.910000000000000000e+02	1.166000000000000000e+03
4.060000000000000000e+02	9.990000000000000000e+02
6.020000000000000000e+02	1.120000000000000000e+03
-1.000000000000000000e+00	-1.000000000000000000e+00
4.300000000000000000e+02	9.690000000000000000e+02
-1.000000000000000000e+00	-1.000000000000000000e+00
-1.000000000000000000e+00	-1.000000000000000000e+00
2.220000000000000000e+02	1.387000000000000000e+03
4.910000000000000000e+02	8.670000000000000000e+02
-1.000000000000000000e+00	1.192000000000000000e+03
4.070000000000000000e+02	7.850000000000000000e+02
-1.000000000000000000e+00	-1.000000000000000000e+00
-1.000000000000000000e+00	-1.000000000000000000e+00
4.800000000000000000e+02	1.139000000000000000e+03
4.340000000000000000e+02	1.016000000000000000e+03
6.060000000000000000e+02	1.094000000000000000e+03
4.570000000000000000e+02	1.111000000000000000e+03
-1.000000000000000000e+00	1.216000000000000000e+03
5.930000000000000000e+02	9.770000000000000000e+02
5.900000000000000000e+02	1.054000000000000000e+03
-1.000000000000000000e+00	5.420000000000000000e+02
4.350000000000000000e+02	7.140000000000000000e+02
5.800000000000000000e+02	1.021000000000000000e+03
5.130000000000000000e+02	9.110000000000000000e+02
2.270000000000000000e+02	1.439000000000000000e+03
4.220000000000000000e+02	9.650000000000000000e+02
4.610000000000000000e+02	1.115000000000000000e+03
3.650000000000000000e+02	6.250000000000000000e+02
2.280000000000000000e+02	9.100000000000000000e+01
4.830000000000000000e+02	9.660000000000000000e+02
5.870000000000000000e+02	1.110000000000000000e+03
6.060000000000000000e+02	1.028000000000000000e+03
5.040000000000000000e+02	1.024000000000000000e+03
4.390000000000000000e+02	8.690000000000000000e+02
4.390000000000000000e+02	1.089000000000000000e+03
-1.000000000000000000e+00	-1.000000000000000000e+00
-1.000000000000000000e+00	8.470000000000000000e+02
-1.000000000000000000e+00	1.380000000000000000e+03
5.210000000000000000e+02	1.310000000000000000e+03
4.720000000000000000e+02	1.060000000000000000e+03
5.170000000000000000e+02	1.072000000000000000e+03
-1.000000000000000000e+00	1.359000000000000000e+03
2.040000000000000000e+02	1.397000000000000000e+03
-1.000000000000000000e+00	8.790000000000000000e+02
5.560000000000000000e+02	9.400000000000000000e+02
5.400000000000000000e+02	1.115000000000000000e+03
5.900000000000000000e+02	9.350000000000000000e+02
4.350000000000000000e+02	7.540000000000000000e+02
6.240000000000000000e+02	1.234000000000000000e+03
7.510000000000000000e+02	1.034000000000000000e+03
4.590000000000000000e+02	7.810000000000000000e+02
-1.000000000000000000e+00	-1.000000000000000000e+00
1.820000000000000000e+02	1.357000000000000000e+03
-1.000000000000000000e+00	7.810000000000000000e+02
-1.000000000000000000e+00	-1.000000000000000000e+00
4.190000000000000000e+02	9.520000000000000000e+02
5.420000000000000000e+02	9.810000000000000000e+02
2.220000000000000000e+02	1.289000000000000000e+03
-1.000000000000000000e+00	-1.000000000000000000e+00
-1.000000000000000000e+00	1.402000000000000000e+03
5.040000000000000000e+02	9.870000000000000000e+02
-1.000000000000000000e+00	-1.000000000000000000e+00
6.000000000000000000e+02	1.132000000000000000e+03
4.440000000000000000e+02	-1.000000000000000000e+00
1.480000000000000000e+02	1.323000000000000000e+03
-1.000000000000000000e+00	-1.000000000000000000e+00
-1.000000000000000000e+00	7.600000000000000000e+01
-1.000000000000000000e+00	-1.000000000000000000e+00
-1.000000000000000000e+00	-1.000000000000000000e+00
-1.000000000000000000e+00	-1.000000000000000000e+00
-1.000000000000000000e+00	-1.000000000000000000e+00
-1.000000000000000000e+00	-1.000000000000000000e+00
-1.000000000000000000e+00	-1.000000000000000000e+00
-1.000000000000000000e+00	1.500000000000000000e+02
-1.000000000000000000e+00	6.270000000000000000e+02
-1.000000000000000000e+00	-1.000000000000000000e+00
4.220000000000000000e+02	5.680000000000000000e+02
6.140000000000000000e+02	9.810000000000000000e+02
6.440000000000000000e+02	9.490000000000000000e+02
-1.000000000000000000e+00	-1.000000000000000000e+00
4.670000000000000000e+02	1.067000000000000000e+03
-1.000000000000000000e+00	-1.000000000000000000e+00
-1.000000000000000000e+00	2.680000000000000000e+02
-1.000000000000000000e+00	-1.000000000000000000e+00
-1.000000000000000000e+00	-1.000000000000000000e+00
